# m	b	logf
-1.001414838301192045e+00	4.561612696774585807e+00	-6.195310097956518991e-01
-9.753320003018901563e-01	4.452271515097426580e+00	-8.009846567182455912e-01
-9.005250385997940477e-01	4.123847692018531852e+00	-4.923633835736198061e-01
-9.992623451838330562e-01	4.670224621100132367e+00	-3.790647583466045800e-01
-1.008403960954011414e+00	4.616377824656233031e+00	-4.842490395402057612e-01
-1.021610651968635430e+00	5.011628948903712022e+00	-6.708492474738886324e-01
-8.823137410854258178e-01	4.084394738430574101e+00	-4.888564665478299931e-01
-8.886275763618460832e-01	4.083684195398681105e+00	-4.173891455956757479e-01
-8.832164589075497396e-01	4.071869542980273593e+00	-3.969362459389150777e-01
-8.950816861170765026e-01	4.191453864341166735e+00	-4.431710029067434942e-01
-9.376887638108579726e-01	4.205988500562363619e+00	-6.724503976282282247e-01
-7.255205247051892403e-01	3.255854571607130321e+00	-2.543855285446297576e-01
-1.029163617937202346e+00	4.660654565522458270e+00	-7.644316770345235268e-01
-9.820674859876729057e-01	4.537212310756332023e+00	-6.017576380610374365e-01
-1.005224636882682709e+00	4.626438954294807004e+00	-6.216838742774690729e-01
-9.305070436683143820e-01	4.281776495750386324e+00	-4.471983974037943010e-01
-9.710362460792379968e-01	4.394611870658112984e+00	-6.297938747541099724e-01
-9.252721072433629512e-01	4.116601930080158844e+00	-5.930186713972818158e-01
-8.726419384232659837e-01	4.178626782752834501e+00	-4.491084622169959073e-01
-1.019578618584859875e+00	4.762128234313041553e+00	-7.362749767803594692e-01
-9.479589313985219423e-01	4.372866546779664354e+00	-7.431785246112423415e-01
-9.484588372292465097e-01	4.239376519006169630e+00	-6.410154088829558283e-01
-1.040957921968264088e+00	4.794803780666572202e+00	-7.173039079383611849e-01
-1.057154773330183373e+00	4.864621314584437251e+00	-4.721054391581089305e-01
-1.034633258249257004e+00	4.929204854017615212e+00	-7.916585086888520140e-01
-8.509114443147739459e-01	3.842146983014793182e+00	-3.489325756410099899e-01
-9.586351399350814262e-01	4.579043103627722822e+00	-2.988291982150210746e-01
-8.414093381933497318e-01	3.854471983542639091e+00	-4.250988678412739863e-01
-8.322400608265834165e-01	3.872564642228494058e+00	-2.508909104458853512e-01
-9.534561774226955055e-01	4.252433494699380923e+00	-7.253788162869627687e-01
-1.004643489357244679e+00	4.536928157464600098e+00	-5.861022697092196365e-01
-1.109326842324235507e+00	5.116968814208194161e+00	-6.806486423209552328e-01
-1.095926996951765542e+00	4.891623515437919067e+00	-6.766341228765166971e-01
-8.958870616578156199e-01	4.050480251515804930e+00	-6.232490108056433220e-01
-1.093963957716368673e+00	4.746001880319925093e+00	-5.857085637581727067e-01
-1.005303791903655819e+00	4.702832842970746441e+00	-5.568515754417606711e-01
-1.056228044963577029e+00	4.860741983988112302e+00	-4.285918455737688371e-01
-9.870340798110774916e-01	4.558346700400794482e+00	-7.338596033474868996e-01
-8.296134269799120275e-01	3.840215239192536600e+00	-2.499737281158210533e-01
-9.544311717931087680e-01	4.429238419720801012e+00	-5.248195251247310678e-01
-1.050519979440876606e+00	4.854324716178287424e+00	-5.299178229944748741e-01
-8.979122809702453356e-01	4.076184647414409667e+00	-6.108013579903901480e-01
-9.793046622409131707e-01	4.429027452493281558e+00	-7.226929419441456837e-01
-9.142124647575653462e-01	4.225063636178781223e+00	-5.031869264542242481e-01
-9.283537639146536291e-01	4.188539578333618785e+00	-6.098912520604711229e-01
-1.029300912123462641e+00	4.762787481217934271e+00	-5.396875098454623210e-01
-1.006956702113376956e+00	4.522105460379543196e+00	-7.464604963691351402e-01
-8.670293248263777341e-01	3.964742930616512506e+00	-4.555940527797165962e-01
-9.829483487424106603e-01	4.256757346278794429e+00	-3.941382570568745525e-01
-9.821071404609765798e-01	4.490463397581712535e+00	-6.874889410257427613e-01
-8.792712448951741644e-01	4.059322579700181066e+00	-5.986396262713461480e-01
-9.422837517839800503e-01	4.465952396283721981e+00	-4.893421959865450477e-01
-9.296472506693337357e-01	4.348099446613606922e+00	-5.530294841759848534e-01
-1.021716097282559188e+00	4.469355794144214578e+00	-7.363540745059833359e-01
-9.867686140673106454e-01	4.437547027772135166e+00	-4.047608653249221144e-01
-9.267349980840876578e-01	4.313729443195423841e+00	-4.797106275734133729e-01
-9.859574718848184149e-01	4.612996455297668774e+00	-5.679913226396723358e-01
-8.579547658980679614e-01	3.815710492965622702e+00	-2.785656095141672006e-01
-9.592785891007140631e-01	4.238228726181151096e+00	-4.122217268081335706e-01
-9.799306611140909951e-01	4.508571721312502945e+00	-5.833605682165921014e-01
-8.165286963368006967e-01	3.647146153525782530e+00	-2.530614000251646956e-01
-1.073553676922171185e+00	4.935595726374093495e+00	-7.215335016987689531e-01
-9.572904752313927679e-01	4.260898014918964805e+00	-5.689695772044315314e-01
-1.016520877715203053e+00	4.640220829602130337e+00	-5.936170390577443223e-01
-1.031222361363409501e+00	4.775064443963175087e+00	-8.482482910025644918e-01
-8.757111996096098583e-01	4.131881389770451385e+00	-5.730687964599918693e-01
-9.760286117259624472e-01	4.456941793781925121e+00	-4.349326446210597386e-01
-1.008211840649580138e+00	4.747850080386894156e+00	-5.097880362960606204e-01
-9.790439549101184191e-01	4.471180043753501643e+00	-5.333607310790670075e-01
-9.865584433562410993e-01	4.511119422499221265e+00	-6.583009949732734345e-01
-8.856168182266580535e-01	4.003766862681498395e+00	-4.628219124518180294e-01
-9.978524910265275105e-01	4.600012298965648228e+00	-7.106614876932270120e-01
-1.191928549655852709e+00	5.478048741720929371e+00	-7.202853560421849100e-01
-8.773307673964427789e-01	4.148733349814323290e+00	-7.751930801833303297e-01
-9.984197058985931905e-01	4.554234155303898746e+00	-4.762564245756544246e-01
-7.552262282900551460e-01	3.370001051593227714e+00	-2.242022701589725386e-01
-1.033640783527097096e+00	4.827809558101064269e+00	-8.343317451718540445e-01
-1.018658570538836239e+00	4.661689082067286272e+00	-6.308911150207163754e-01
-9.999944709965192802e-01	4.525733780296718578e+00	-8.070010122757301785e-01
-9.833315940821766299e-01	4.519173915630460669e+00	-5.474249821772416702e-01
-1.070298674114395387e+00	4.837403166292290280e+00	-6.503459267907980568e-01
-9.576437386780505268e-01	4.489612467963307374e+00	-6.160061013723394652e-01
-8.799312402773807884e-01	4.065797512837138861e+00	-6.925462971888907138e-01
-1.000775058107699289e+00	4.610373625386399610e+00	-5.406968706792698587e-01
-9.903112572531805879e-01	4.623672953022412102e+00	-7.806043333362469028e-01
-9.334370386565377098e-01	4.295713388391602550e+00	-5.240745328276886772e-01
-9.497240266875540682e-01	4.237344083833637143e+00	-5.765696610138255629e-01
-9.650766102235187605e-01	4.402763365526848105e+00	-7.097584517215131950e-01
-9.834870543055893588e-01	4.602928459022053609e+00	-4.991639161080701492e-01
-8.882245833215207664e-01	3.919763407713478642e+00	-3.250454109891602883e-01
-9.948243902161743035e-01	4.433665661384321055e+00	-6.993646156385897594e-01
-8.891049329259159695e-01	3.998863704937801966e+00	-3.239675367690770802e-01
